,Company Name,Industry,Symbol
354,Polyplex Corporation Ltd.,Capital Goods,POLYPLEX
355,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA
356,Power Finance Corporation Ltd.,Financial Services,PFC
357,Power Grid Corporation of India Ltd.,Power,POWERGRID
358,Praj Industries Ltd.,Capital Goods,PRAJIND
359,Prestige Estates Projects Ltd.,Realty,PRESTIGE
360,Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE
361,Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN
362,Privi Speciality Chemicals Ltd.,Chemicals,PRIVISCL
363,Procter & Gamble Health Ltd.,Healthcare,PGHL
364,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH
365,Punjab National Bank,Financial Services,PNB
366,Quess Corp Ltd.,Services,QUESS
367,RBL Bank Ltd.,Financial Services,RBLBANK
368,REC Ltd.,Financial Services,RECLTD
369,RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM
370,RITES Ltd.,Construction,RITES
371,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO
372,Rail Vikas Nigam Ltd.,Construction,RVNL
373,Rain Industries Ltd,Chemicals,RAIN
374,Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO
375,Rallis India Ltd.,Chemicals,RALLIS
376,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF
377,Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI
378,RattanIndia Enterprises Ltd.,Services,RTNINDIA
379,Raymond Ltd.,Textiles,RAYMOND
380,Redington Ltd.,Services,REDINGTON
381,Relaxo Footwears Ltd.,Consumer Durables,RELAXO
382,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE
383,Restaurant Brands Asia Ltd.,Consumer Services,RBA
384,Rossari Biotech Ltd.,Chemicals,ROSSARI
385,Route Mobile Ltd.,Telecommunication,ROUTE
386,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD
387,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE
388,SIS Ltd.,Services,SIS
389,SJVN Ltd.,Power,SJVN
390,SKF India Ltd.,Capital Goods,SKFINDIA
391,SRF Ltd.,Chemicals,SRF
392,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON
393,Sanofi India Ltd.,Healthcare,SANOFI
394,Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE
395,Saregama India Ltd,Media Entertainment & Publication,SAREGAMA
396,Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER
397,Sharda Cropchem Ltd.,Chemicals,SHARDACROP
398,Sheela Foam Ltd.,Consumer Durables,SFL
399,Shilpa Medicare Ltd.,Healthcare,SHILPAMED
400,Shipping Corporation of India Ltd.,Services,SCI
401,Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP
402,Shree Cement Ltd.,Construction Materials,SHREECEM
403,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA
404,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN
405,Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL
406,Siemens Ltd.,Capital Goods,SIEMENS
407,Sobha Ltd.,Realty,SOBHA
408,Solar Industries India Ltd.,Chemicals,SOLARINDS
409,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS
410,Sonata Software Ltd.,Information Technology,SONATSOFTW
411,Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH
412,State Bank of India,Financial Services,SBIN
413,Steel Authority of India Ltd.,Metals & Mining,SAIL
414,Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR
415,Sterlite Technologies Ltd.,Telecommunication,STLTECH
416,Sudarshan Chemical Industries Ltd.,Chemicals,SUDARSCHEM
417,Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM
418,Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC
419,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA
420,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV
421,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN
